Accession,EC number,FEDKEA_result,CLEAN_result,ECRECer_result,DeepEC_result
F1SVF6,1.17.98.3,1.17.1.9,1.17.1.9,1.17.1.9,EC number not predicted
F2K079,1.14.19.55,1.14.13.8,1.14.13.8,1.14.13.8,EC number not predicted
F4JFR7,1.14.11.51,1.14.11.53,1.14.11.33,1.14.11.-,EC number not predicted
F8D4I6,2.7.1.239,2.7.1.101,2.7.1.212,2.7.1.-,EC number not predicted
G0RT93,3.1.3.16,3.1.3.16,3.1.3.16,3.1.3.16,3.1.3.16
G1XSR6,1.14.13.196,1.14.13.196,1.14.13.196,1.-.-.-,EC number not predicted
G2R6N0,1.14.99.56,3.2.1.4,3.2.1.4,1.15.1.1,1.14.99.54
G2RB72,1.14.99.56,4.1.1.65,3.2.1.101,1.15.1.1,EC number not predicted
G2RGE5,1.14.99.56,3.2.1.4,3.2.1.4,1.15.1.1,1.14.99.54
G2RGE6,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,EC number not predicted
G2WS43,2.4.1.16,2.4.1.16,2.4.1.212,2.4.1.16,EC number not predicted
G4MSY9,2.1.1.348,2.1.1.72,2.1.1.72,2.1.1.-,EC number not predicted
I1BJ58,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16,EC number not predicted
I1RDA9,3.1.1.3,3.1.1.3,3.1.1.42,3.1.1.3,EC number not predicted
I1RHF8,3.1.1.1,3.1.1.3,3.1.1.42,3.1.1.3,3.1.1.1
I1RIF1,3.1.1.1,3.1.1.42,3.1.1.42,3.1.1.3,EC number not predicted
I1S0T9,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16
J9VI85,4.2.3.1,4.2.3.1,4.2.3.1,4.2.3.1,EC number not predicted
J9VTK7,2.4.1.11,2.4.1.11,2.4.1.11,2.4.1.11,2.4.1.11
J9VU26,2.7.1.39,2.7.1.39,2.7.1.39,2.7.1.39,EC number not predicted
K5VN09,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,1.14.99.53
M1T1K4,2.6.1.125;2.6.1.126,2.6.1.83,4.2.1.145,2.6.1.-,EC number not predicted
O53044,3.5.2.6,3.5.2.6,3.5.2.6,3.5.2.6,3.5.2.6
O87333,2.4.99.23,2.4.99.24,2.4.1.227,2.-.-.-,EC number not predicted
P0DRB8,3.4.14.5,3.4.14.5,3.4.14.5,3.4.14.5,3.4.14.5
P0DW68,2.7.13.3,2.7.7.49,3.4.24.83,3.1.-.-,EC number not predicted
P0DX62,2.4.99.24,2.4.99.25,2.1.1.176,2.-.-.-,EC number not predicted
P0DX91,6.5.1.8,6.5.1.8,6.5.1.8,6.5.1.-,EC number not predicted
P0DX92,6.5.1.8,6.5.1.8,6.5.1.8,6.5.1.-,6.5.1.4
P0DXB4,2.7.7.86,2.7.7.86,2.7.7.86,3.6.4.-,EC number not predicted
P0DXB5,2.7.7.86,2.7.7.86,2.7.7.86,2.7.7.-,2.7.7.65
P0DXB6,2.7.7.86,2.7.7.86,2.7.7.86,2.7.7.-,EC number not predicted
P0DXB7,2.7.7.86,2.7.7.86,2.7.7.86,2.7.7.-,EC number not predicted
P0DXC0,2.7.7.85,2.7.7.86,2.7.7.86,2.7.7.-,EC number not predicted
P0DXC8,4.3.1.1,4.3.1.1,4.3.1.1,4.3.1.1,EC number not predicted
P0DXD4,4.3.2.1,4.3.2.1,4.3.2.1,4.3.2.1,4.3.2.1
P0DXD5,4.2.3.216;4.2.3.217,4.2.3.206,6.5.1.3,2.7.8.8,EC number not predicted
P0DXD8,6.7.1.2,6.2.1.7,4.2.3.149;4.2.3.150;4.2.3.151,6.3.2.14,EC number not predicted
P0DXE1,1.1.1.438,1.1.1.268,1.1.1.269,1.1.1.51,EC number not predicted
P0DXG1,3.2.1.223,3.2.1.78,3.2.1.81;3.2.1.78;3.2.1.11;3.2.1.55,3.4.24.-,EC number not predicted
P0DXG4,6.2.1.37,6.2.1.25,6.2.1.37;6.2.1.27,6.2.1.3,EC number not predicted
P0DXG8,7.6.2.2,7.6.2.9,7.5.2.5,3.6.3.-,7.6.2.2
P0DXI1,5.4.99.41,5.4.99.41,5.4.99.51,5.4.99.8,5.4.99.39
P0DXI2,5.4.99.56,5.4.99.41,5.4.99.35;5.4.99.50,5.4.99.7,5.4.99.39
P0DXU5,7.6.2.2,7.6.2.9,7.2.2.4;7.4.2.11,3.6.3.-,EC number not predicted
P0DXU7,7.6.2.2,7.6.2.11,7.5.2.5,3.6.3.-,EC number not predicted
P0DXZ0,1.2.1.46,1.1.1.47,1.2.1.46,1.2.1.46,EC number not predicted
P0DXZ1,2.3.1.312,6.3.3.3,2.7.7.62;2.7.1.156,6.5.-.-,EC number not predicted
P0DXZ2,5.1.1.25,3.13.2.3,5.1.1.20,4.2.1.113,EC number not predicted
P0DXZ6,3.1.1.4,3.1.1.4,3.1.1.4,3.1.1.4,3.1.1.4
P0DY42,3.1.1.4,3.1.1.4,3.1.1.4,3.1.1.4,3.1.1.4
P73562,4.1.1.127,4.1.1.96,4.1.1.96,4.1.1.17,EC number not predicted
Q06K61,3.5.4.4,3.5.4.4,3.5.4.4,3.5.4.4,EC number not predicted
Q0KAA1,2.3.1.318,2.3.1.247,2.3.1.247,2.6.99.2,EC number not predicted
Q0P9A8,2.4.99.24,2.4.99.25,2.1.1.176,2.-.-.-,EC number not predicted
Q0RWC9,4.1.1.69,4.1.2.19,4.1.1.51,4.1.2.19,EC number not predicted
Q0SG95,1.4.1.20,1.4.1.20,1.4.1.23,1.4.1.9,EC number not predicted
Q19VG9,1.15.1.1,1.15.1.1,1.15.1.1,1.15.1.1,1.15.1.1
Q1NEJ0,1.1.1.378,1.1.1.173,1.1.1.391,1.3.1.34,EC number not predicted
Q2U3H8,1.14.13.248,1.14.13.248,2.1.1.56;2.7.7.50,1.5.-.-,EC number not predicted
Q39QF4,1.3.8.11,1.3.8.11,1.3.1.95,1.3.8.1,EC number not predicted
Q3J189,1.14.15.9,1.14.15.9,1.14.15.9,1.11.1.-,EC number not predicted
Q44250,3.5.1.123,3.5.1.94,3.4.19.16,6.3.5.2,EC number not predicted
Q47594,2.4.1.349,2.4.1.378,2.4.1.330,2.4.-.-,2.7.10.2
Q47595,2.4.1.348,2.4.1.345,2.4.1.348,2.4.-.-,EC number not predicted
Q4D5J7,2.3.1.199,2.3.1.199,2.3.1.199,2.3.1.199,2.3.1.199
Q4DUK4,2.3.1.199,2.3.1.199,2.3.1.199,2.3.1.199,2.3.1.199
Q4J8K8,3.6.4.12,3.6.4.12,5.6.2.2,3.6.4.12,EC number not predicted
Q4WQ60,2.3.2.27,3.4.21.105,2.3.2.27,3.1.26.5,EC number not predicted
Q4WW94,2.7.11.1,2.7.11.1,2.7.12.1,2.7.11.1,EC number not predicted
Q504M2,3.1.3.43,3.1.3.43,3.1.3.43,3.1.3.43,3.1.3.43
Q54129,2.4.1.377,2.4.1.377,1.3.98.3,2.4.1.-,EC number not predicted
Q55230,1.14.19.45,1.14.19.45,1.14.19.6,1.14.19.6,1.14.19.45
Q55231,1.14.19.45,1.14.19.45,1.14.19.6,1.14.19.6,1.14.19.6
Q55406,1.14.19.28,1.14.19.10,1.14.19.10,2.3.1.199,1.14.19.28
Q5JGJ6,4.2.1.182,4.2.1.171,2.1.1.98,4.2.1.33,EC number not predicted
Q5K9E9,6.3.5.2,6.3.5.2,6.3.5.2,6.3.5.2,6.3.5.2
Q5SC51,3.2.1.18,3.2.1.18,3.2.1.18,3.2.1.18,3.2.1.18
Q5U921,2.8.3.24,2.8.3.17,2.8.3.17,2.8.3.16,EC number not predicted
Q65EY9,2.7.1.234,2.7.1.56,2.7.1.56,2.7.1.56,EC number not predicted
Q6E7K8,1.14.19.40,1.14.19.10,1.14.19.75,1.14.19.-,EC number not predicted
Q6E7K9,6.2.1.47,6.2.1.59,6.2.1.57,6.2.1.-,6.2.1.47
Q6LXQ2,1.17.98.3,1.17.1.9,1.17.1.9,1.17.1.9,1.17.1.9
Q6PBS3,6.1.1.2,6.1.1.2,6.1.1.2;6.1.1.1,6.1.1.2,6.1.1.2
Q704E9,1.14.19.27,1.14.19.37,1.14.19.75,1.14.19.-,EC number not predicted
Q704F0,1.14.19.36,1.14.19.13,1.14.19.6,1.14.19.25,1.14.19.22
Q70KH3,2.1.1.353,2.1.1.15,2.1.1.254,2.1.1.201,EC number not predicted
Q79F72,1.14.19.45,1.14.19.45,1.14.19.6,1.14.19.6,1.14.19.45
Q79F73,1.14.19.28,1.14.19.37,1.14.19.75,1.14.19.-,1.14.19.28
Q7PYT9,3.2.1.20,3.2.1.20,3.2.1.20,3.2.1.20,EC number not predicted
Q7VNA4,2.4.99.24,2.4.1.227,2.1.1.187,2.-.-.-,EC number not predicted
Q81BR3,2.7.9.6,6.4.1.2,2.7.3.13;2.7.9.2,6.3.2.6,EC number not predicted
Q89F89,1.4.3.3,1.4.5.1,1.4.5.1,1.4.99.-,EC number not predicted
Q8A5T1,3.2.1.218,3.2.1.81,1.1.99.18,3.2.1.73,EC number not predicted
Q8ECU3,1.14.13.252,1.14.13.195,1.14.13.195,1.-.-.-,EC number not predicted
Q8LPU1,3.2.1.6,3.2.1.6,3.2.1.4,3.2.1.4,EC number not predicted
Q8PWQ0,4.1.1.126,4.1.1.98,4.1.1.98,4.2.1.-,EC number not predicted
Q8PWQ1,4.2.1.182,4.2.1.171,3.5.4.27,4.2.1.33,EC number not predicted
Q8QV65,3.2.1.18,3.2.1.18,3.2.1.18,3.2.1.18,3.2.1.18
Q8VQ46,2.4.1.341,2.4.1.308,2.4.1.308,2.4.1.344,EC number not predicted
Q8VS15,2.7.1.234,2.7.1.56,2.7.1.56,2.7.1.144,EC number not predicted
Q93UV7,4.1.1.69,4.1.2.19,4.1.1.51,4.1.2.19,EC number not predicted
Q9AGK2,4.1.1.69,4.1.2.19,4.1.1.51,4.1.2.19,EC number not predicted
Q9AI62,3.2.1.219,3.2.1.93,3.2.1.93,3.2.1.70,EC number not predicted
Q9HTH7,2.3.1.317,2.5.1.147,2.3.1.247,2.5.1.55,EC number not predicted
Q9HTH9,3.1.2.33,4.2.1.119,3.1.2.21;3.1.1.2;3.1.1.81,5.3.3.12,EC number not predicted
Q9HUF5,2.4.99.23,2.4.99.23,2.4.1.356,2.-.-.-,EC number not predicted
Q9KJF3,2.3.1.310,2.3.1.176,2.3.1.176;2.3.1.155,2.3.1.16,EC number not predicted
Q9KJT3,2.7.13.3,2.7.13.3,2.7.13.3,2.7.13.3,2.7.13.3
Q9NC65,3.5.4.4,3.5.4.4,3.5.4.4,3.5.4.4,EC number not predicted
Q9P451,3.1.1.3,3.1.1.73,3.1.1.73,3.1.1.3,3.1.1.3
Q9VJ31,2.1.1.5,2.1.1.10,2.1.1.10,2.1.1.10,EC number not predicted
Q9W2W5,3.2.2.19,3.1.4.45,3.1.3.84,3.4.22.-,EC number not predicted
Q9W4J9,3.2.2.19,3.1.4.45,3.1.3.84;3.2.1.143,3.6.4.13,EC number not predicted
S7QKE2,1.14.99.56,3.2.1.4,3.2.1.4;3.2.1.8,1.15.1.1,EC number not predicted
V4HJ70,1.14.19.57,1.14.19.56,1.14.19.56,1.-.-.-,EC number not predicted
V5TF61,2.5.1.1,2.5.1.10,2.5.1.10;2.5.1.29;2.5.1.1,2.5.1.10,2.5.1.29
V9TT49,3.2.1.37;3.2.1.55,3.2.1.72,3.2.1.37;3.2.1.55,3.2.1.37,EC number not predicted
B1KN81,4.4.1.3,1.13.11.73,3.2.2.22,4.2.1.147,EC number not predicted
B8D049,2.4.1.230,2.4.1.230,2.4.1.230,2.4.1.230,EC number not predicted
M1T9N7,2.1.1.243,2.1.1.47,2.1.1.243,2.1.3.-,EC number not predicted
P0DXC5,1.1.1.3,1.1.1.3,1.1.1.3,1.1.1.3,EC number not predicted
P0DXD3,4.4.1.43,4.4.1.11,4.4.1.11,2.5.1.48,EC number not predicted
P0DXD7,2.3.1.316,2.3.1.102,2.3.1.102,2.3.1.-,EC number not predicted
P9WEK4,3.5.1.9,3.1.1.n2,3.5.1.9,3.1.1.3,EC number not predicted
Q0ZQ45,5.4.2.9,5.4.2.9,5.4.2.9;3.11.1.3,5.4.2.9,4.1.2.4
Q58YW1,2.4.99.27,2.4.1.109,2.5.1.68;6.3.2.20,2.3.1.-,EC number not predicted
Q6LXX7,4.3.1.12,2.5.1.46,6.3.2.36,2.1.1.195,EC number not predicted
Q98500,3.6.1.74,3.6.1.28,3.1.3.33;2.1.1.56,3.1.3.33,EC number not predicted
